Ward_ID,Year,Month,Actual_Cases,Linear Regression,GBM,Random Forest,XGBoost,MLP
167,2022,11,32.0,42.87,37.24,40.9,36.31,40.73
167,2022,12,23.0,25.02,25.06,26.32,26.43,24.05
167,2023,1,31.0,20.32,21.03,20.06,22.34,21.0
167,2023,2,7.0,14.41,15.67,18.62,16.22,13.7
167,2023,3,34.0,34.91,30.84,29.43,30.43,33.25
167,2023,4,24.0,14.06,14.36,14.09,14.23,14.67
167,2023,5,31.0,35.23,30.61,30.29,31.18,33.99
167,2023,6,51.0,43.34,43.35,41.28,43.35,45.34
167,2023,7,57.0,46.95,47.29,47.36,47.38,47.79
167,2023,8,66.0,74.19,72.94,70.28,72.89,73.85
167,2023,9,60.0,65.9,67.95,65.68,67.73,64.82
167,2023,10,26.0,28.88,26.76,28.0,27.0,26.15
167,2023,11,38.0,38.79,43.27,41.62,42.57,39.3
167,2023,12,9.0,11.21,11.97,14.32,11.52,10.07
168,2021,3,27.0,27.67,28.32,27.73,29.06,30.13
168,2021,4,30.0,26.02,27.78,26.57,27.37,24.99
168,2021,5,27.0,27.49,26.18,27.41,26.89,26.35
168,2021,6,47.0,49.1,48.91,51.64,50.47,48.71
168,2021,7,67.0,70.19,73.71,74.42,75.05,73.56
168,2021,8,67.0,63.22,67.07,64.15,67.09,64.19
168,2021,9,87.0,85.81,81.5,73.36,79.31,85.79
168,2021,10,67.0,69.21,72.63,68.86,74.17,73.38
168,2021,11,66.0,67.83,68.2,70.82,67.71,72.08
168,2021,12,42.0,44.03,42.21,43.85,43.23,40.14
168,2022,1,25.0,30.54,28.54,29.86,30.48,30.44
168,2022,2,11.0,9.32,11.37,11.18,12.23,12.41
168,2022,3,20.0,30.33,31.4,33.61,32.17,31.78
168,2022,4,23.0,24.49,24.27,23.71,24.1,23.5
168,2022,5,13.0,12.11,14.58,14.8,14.84,11.7
168,2022,6,65.0,56.14,55.1,58.06,60.12,58.53
168,2022,7,62.0,61.27,68.6,68.24,67.02,66.93
168,2022,8,60.0,65.15,65.2,59.44,62.4,65.13
168,2022,9,84.0,78.64,74.63,75.56,75.35,78.25
168,2022,10,73.0,68.15,70.63,71.22,72.03,71.08
168,2022,11,61.0,51.38,51.7,50.0,50.66,47.52
168,2022,12,38.0,45.71,39.55,40.76,40.58,41.37
168,2023,1,26.0,30.15,27.86,28.82,28.41,29.24
168,2023,2,29.0,30.75,32.05,28.77,31.2,30.43
168,2023,3,41.0,38.83,35.78,37.18,35.79,37.84
168,2023,4,30.0,33.29,31.17,31.78,30.76,30.34
168,2023,5,34.0,42.19,35.12,35.94,36.5,38.92
168,2023,6,48.0,49.74,49.86,47.96,49.92,49.64
168,2023,7,47.0,53.47,55.23,53.82,54.82,55.45
168,2023,8,59.0,58.62,58.88,62.74,58.17,57.9
168,2023,9,68.0,67.67,69.49,70.67,71.35,66.74
168,2023,10,68.0,61.76,68.79,68.1,67.44,68.55
168,2023,11,38.0,35.71,35.21,36.87,34.41,33.4
168,2023,12,57.0,58.75,52.77,48.87,51.87,53.8
169,2021,3,9.0,17.28,17.62,18.44,16.83,15.47
169,2021,4,14.0,18.96,20.51,21.65,19.89,18.0
169,2021,5,38.0,38.48,36.81,38.0,37.75,37.81
169,2021,6,43.0,38.33,42.73,41.6,41.29,39.54
169,2021,7,70.0,62.7,61.27,60.21,61.43,61.82
169,2021,8,84.0,82.98,84.4,83.54,84.11,83.66
169,2021,9,85.0,89.75,91.77,91.26,90.87,89.56
169,2021,10,75.0,67.76,72.07,72.29,72.2,70.37
169,2021,11,51.0,56.96,58.08,56.68,58.05,56.71
169,2021,12,56.0,50.64,42.36,43.09,44.83,44.63
169,2022,1,25.0,30.2,31.66,32.78,31.62,29.85
169,2022,2,9.0,18.75,20.61,19.8,20.77,21.05
169,2022,3,35.0,33.79,30.64,30.85,30.75,33.73
169,2022,4,33.0,24.46,26.66,27.64,26.79,24.42
169,2022,5,24.0,22.0,20.83,21.2,20.43,23.65
169,2022,6,71.0,61.0,61.41,61.51,63.53,62.5
169,2022,7,69.0,62.18,66.33,66.99,66.79,63.95
169,2022,8,61.0,60.96,53.91,53.82,54.1,61.17
169,2022,9,38.0,43.03,41.09,43.49,43.39,41.4
169,2022,10,67.0,68.93,70.28,68.68,68.49,71.6
169,2022,11,23.0,24.69,26.78,28.69,25.75,23.19
169,2022,12,28.0,37.02,30.89,30.42,31.15,34.03
169,2023,1,25.0,20.52,25.39,27.31,25.17,22.63
169,2023,2,38.0,38.0,37.14,33.96,37.91,37.38
169,2023,3,26.0,32.71,32.13,32.89,31.76,31.88
169,2023,4,13.0,12.08,12.04,12.7,11.09,11.64
169,2023,5,19.0,17.87,18.29,19.92,20.4,17.16
169,2023,6,30.0,27.78,28.86,28.94,28.55,25.77
169,2023,7,58.0,51.08,52.53,51.97,52.99,50.95
169,2023,8,66.0,64.16,67.53,70.16,68.48,63.82
169,2023,9,85.0,80.4,81.23,80.74,81.24,80.09
169,2023,10,96.0,85.49,87.01,84.96,86.23,89.66
